BCM4987s001r_VAxg_01	BCM4987s002r_VAxg_01	BCM4987s003r_VAxg_01	BCM4987s004r_VAxg_01	BCM4987s005r_VAxg_01	BCM4987s006r_VAxg_01	BCM4987s007r_VAxg_01	BCM4987s008r_VAxg_01	BCM4987s009r_VAxg_01	BCM4987s010r_VAxg_01	BCM4987s011r_VAxg_01	BCM4987s012r_VAxg_01
PLXDC1	73	62	39	42	29	46	40	30	54	65	47	19
PGAP3	1572	1858	918	840	721	1104	1100	570	1045	975	834	572
IKZF3	7	6	4	0	7	3	15	12	8	1	4	2
GRIN2C	125	172	105	55	136	89	86	51	131	155	72	50
FDXR	522	567	305	285	349	230	349	227	450	333	294	264
SAP30BP	1871	1900	1282	1149	1114	1111	1360	881	1657	1118	1272	1010
ACOX1	2538	2649	1709	1647	2118	1986	2469	1381	2742	2019	2208	1621
PRPSAP1	1564	1655	928	1060	1206	1000	1374	887	1707	1222	1263	1037
CYGB	1	1	0	0	0	0	1	0	3	0	0	0
SRSF2	346	342	203	165	237	193	245	200	360	263	257	231
ZNF577	102	114	72	66	91	47	78	45	100	75	73	69
TMEM143	148	121	67	69	88	61	107	77	116	86	76	64
KLHL10	19	28	5	8	15	7	13	11	17	12	10	12
CCDC155	0	1	0	0	0	0	0	0	0	0	0	1
HCRT	1	0	0	0	0	0	1	0	0	0	1	0
ALDH16A1	408	389	204	225	217	176	249	157	331	216	300	265
DCD	0	0	0	0	0	0	0	0	0	0	0	0
ITGA5	438	560	1182	231	291	837	515	79	382	221	307	158
SIGLEC11	0	3	0	0	1	0	0	0	1	4	0	0
ZNF385A	86	109	62	46	64	64	70	51	60	52	71	51
MPP3	447	394	390	286	222	233	267	158	312	158	194	165
CD300LG	0	0	0	0	0	0	0	0	0	0	0	0
IZUMO2	9	12	11	13	11	9	7	5	7	3	4	4
NAGS	125	100	91	53	45	81	79	23	78	42	45	35
LSM12	756	813	533	535	533	467	569	410	799	533	621	459
ASB16	178	175	102	104	128	94	120	73	132	113	129	73
EMC10	1856	1963	1146	1248	1292	1242	1548	879	1500	1164	1230	1010
JOSD2	137	155	87	89	86	82	124	84	137	87	92	87
SHANK1	0	2	0	0	0	1	1	0	1	0	0	0
FAM171A2	107	117	59	57	67	66	76	39	74	66	57	42
DBF4B	323	333	155	199	243	140	239	189	382	222	311	215
PLCD3	1381	1336	845	849	827	837	782	631	1207	766	1034	673
FMNL3	528	509	262	367	410	250	481	304	579	367	391	312
AQP5	167	119	35	66	72	57	47	73	80	201	92	68
RACGAP1	1833	1690	656	1064	1200	607	1312	958	1711	1081	1297	1055
OR7G1	0	0	0	0	0	0	0	0	0	0	0	0
LARP4	1036	1085	654	781	973	790	984	690	1498	939	1135	972
GRASP	8	11	9	6	10	2	6	4	16	9	12	6
RAVER1	1564	1514	1013	920	940	749	1098	732	1332	910	1009	882
KRT84	0	0	0	0	1	0	0	0	0	0	1	0
KRT82	1	0	0	0	0	1	0	0	1	0	0	1
SYCE2	25	17	20	17	17	14	19	14	31	14	22	17
SPC24	686	584	231	400	467	187	476	382	639	442	508	459
IP6K3	1	2	3	3	6	0	1	0	1	3	0	4
LEMD2	873	799	481	551	682	555	661	507	960	594	750	611
ALOX15	310	271	112	93	178	79	194	113	194	214	115	121
TREML1	0	0	2	0	1	0	3	0	0	0	0	0
ZNF653	426	502	382	300	255	332	302	168	345	253	230	192
MED11	189	172	118	88	126	107	134	73	196	113	114	105
CXCL16	1406	1661	1098	1070	924	864	1458	650	1484	1211	988	815
SCIMP	29	31	26	26	25	19	20	13	39	29	24	21
RNASEK-C17orf49	1	1	2	3	0	0	3	1	0	1	0	2
BCL6B	8	10	1	5	5	9	8	2	1	2	3	3
ASGR2	25	17	15	3	15	15	19	13	11	23	18	16
TNFSF13	92	93	69	66	70	72	86	29	98	83	60	62
SENP3	197	194	104	129	136	106	153	113	181	122	157	143
FGF11	291	336	291	209	248	424	324	93	269	256	176	113
EIF4A1	563	567	434	393	365	306	400	262	575	353	403	306
RPL26	121	151	107	75	80	78	109	41	105	80	63	69
CCDC42	0	0	0	1	0	0	0	0	0	0	0	1
POLR3K	244	220	100	140	202	91	171	160	320	158	233	163
SNRNP25	532	491	214	345	386	249	411	358	597	418	456	405
PRR35	1	0	1	1	0	0	1	0	0	0	0	0
WDR90	4222	3852	2151	2300	2421	1741	2423	1889	3210	2140	2627	1890
JMJD8	685	680	379	452	457	355	484	341	560	453	451	355
CCDC78	252	212	116	151	195	124	151	116	197	167	154	99
MSLNL	95	75	55	46	65	105	37	32	59	74	48	28
SSTR5	69	85	48	72	42	13	71	28	48	23	26	29
SPSB3	0	0	1	1	0	0	2	1	0	0	0	1
MEIOB	12	10	2	3	8	12	10	3	4	15	5	5
HS3ST6	0	1	0	0	5	2	1	0	0	3	0	0
C16orf59	568	523	169	340	387	172	341	268	472	330	477	372
CCNF	1998	1924	653	1186	1292	600	1345	1256	2070	1122	1661	1194
TBC1D24	447	441	268	274	357	291	306	250	505	343	418	302
AMDHD2	419	368	227	210	228	197	227	176	325	181	236	198
NTN3	89	64	42	44	70	41	35	51	89	55	79	56
BICDL2	492	473	292	320	367	405	336	198	424	290	406	264
PAQR4	362	416	150	218	257	164	196	188	336	195	248	198
FLYWCH2	236	210	130	149	125	133	136	88	139	133	141	103
ZG16B	350	358	212	216	302	266	382	173	285	272	206	184
ZNF75A	553	597	329	354	429	290	428	228	520	365	372	301
ADCY9	620	559	279	390	527	346	394	385	753	470	581	375
SHANK2	2200	2225	1801	1333	1347	1304	1587	863	1704	1112	1344	869
CLPB	919	935	574	591	830	604	800	596	1165	683	867	645
NEU3	438	407	267	216	238	199	253	165	339	258	229	196
CYB561A3	414	428	262	323	357	283	374	234	450	361	337	245
PPP1R32	30	25	18	10	17	27	20	17	28	35	18	13
ASRGL1	128	103	44	72	252	69	163	94	129	159	119	118
GNG3	10	9	3	8	4	4	9	8	16	6	7	1
UBXN1	1463	1487	970	880	879	1047	1078	561	1107	819	860	722
LBHD1	245	239	162	155	140	139	159	96	175	174	117	99
TTC9C	316	331	226	186	181	179	222	140	294	217	198	162
TAF6L	501	508	279	270	346	277	336	218	408	333	341	255
NXF1	1533	1560	1127	1068	1322	1106	1152	883	1806	1277	1297	970
STX5	605	751	461	408	445	553	605	308	616	436	497	348
SLC25A45	210	204	113	108	148	123	121	71	163	146	135	94
RPL29	5963	6963	4919	3720	3243	3516	5284	2018	4933	4316	2964	2880
ITIH3	0	1	3	1	1	0	1	0	0	0	1	0
SYVN1	4506	5000	4147	3067	3019	3794	3763	2131	4252	3102	3283	1978
ZFPL1	453	595	396	324	374	384	429	255	462	284	351	211
RPS6KA4	897	865	515	534	575	443	602	542	810	507	732	603
LRP5	29964	30763	20560	16830	22525	12984	25179	11708	21947	14977	15939	13407
TPCN2	2024	2051	1338	1270	1315	1239	1295	918	1671	1284	1301	950
FGF19	0	0	1	0	0	0	0	0	2	0	0	0
CYP4A22	141	140	81	60	91	71	102	44	92	71	75	41
PDZK1IP1	33	29	8	8	20	13	18	6	17	49	9	12
TAL1	0	0	1	0	0	0	0	0	0	0	0	0
CMPK1	412	485	326	262	305	270	363	189	392	271	299	259
BEND5	28	23	15	17	11	6	19	8	15	15	12	12
ELAVL4	0	0	0	0	0	0	1	0	0	2	0	0
COA7	165	137	98	118	117	71	122	105	166	107	131	116
ZYG11B	232	211	158	156	161	130	203	109	218	167	215	120
SLC1A7	3	0	0	1	1	1	0	0	0	1	1	1
C1orf123	154	129	74	70	78	64	84	56	112	96	85	81
MAGOH	41	42	24	23	23	30	36	18	49	46	39	33
ACOT11	325	308	191	189	181	172	208	106	243	180	170	118
FAM151A	21	16	17	21	13	12	16	8	15	11	7	3
PARS2	156	151	125	90	104	102	117	72	111	118	90	90
LEXM	4	10	6	6	5	7	5	5	4	8	6	6
BSND	10	2	3	3	3	2	3	2	3	2	1	0
USP24	1788	1789	1205	1149	1335	1057	1481	874	1841	1382	1412	1149
PLPP3	156	147	116	100	176	147	211	123	187	112	163	112
NOL9	1066	1037	625	731	812	549	802	536	1114	744	924	645
PRKAA2	318	317	214	177	205	200	226	123	265	173	188	219
KLHL21	622	651	519	345	396	398	437	285	567	405	384	323
ZSWIM5	889	879	439	515	522	454	609	390	791	503	548	395
GMEB1	459	432	335	289	311	318	329	206	455	265	355	258
SLC45A1	485	706	578	362	206	295	292	52	394	215	170	112
SELENON	3063	2835	1610	1752	2034	1409	2387	1534	2441	1494	2053	1304
AK4	280	337	189	161	145	174	209	68	240	265	132	122
JAK1	2068	2123	1404	1262	1310	1432	1664	882	2003	1450	1387	1107
RAVER2	288	293	167	167	178	144	174	131	247	195	194	169
CTRC	0	1	0	1	0	0	1	0	0	1	3	2
LZIC	744	733	472	502	540	503	632	356	823	600	590	492
RBP7	6	4	0	1	2	3	2	5	1	5	3	1
KNCN	0	0	0	0	0	0	0	0	0	0	0	0
FBLIM1	210	220	134	91	144	113	136	91	150	125	120	86
TMEM82	6	9	5	5	4	3	6	2	1	0	0	2
SLC25A34	17	21	8	11	16	10	7	4	13	7	11	9
AKR7A3	118	179	105	64	122	50	121	73	110	105	81	93
DRAXIN	0	0	0	1	0	0	0	1	1	1	1	1
PDPN	0	0	0	0	0	1	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	0	0	0	0	0	0
DHRS3	640	559	658	294	511	662	924	224	339	282	196	184
MATN1	69	70	26	31	33	24	29	18	34	39	26	19
LAPTM5	58	65	29	32	24	16	24	19	42	19	34	14
SDC3	387	366	224	201	178	156	210	126	235	215	227	142
PEF1	618	667	349	373	356	344	443	305	556	421	416	299
SYNC	8	9	3	5	8	10	5	5	11	8	8	8
RBBP4	2477	2538	1400	1510	1513	1341	1918	1171	2202	1668	1712	1531
KIAA1522	5284	5104	3646	3052	3175	3875	3376	2354	3935	3795	3617	2198
TSSK3	1	3	2	3	5	4	1	0	3	4	1	3
TMCO4	636	649	447	424	505	461	502	282	544	450	362	320
UBXN10	912	837	634	568	578	725	924	307	799	636	517	422
CAMK2N1	298	309	169	174	211	181	233	114	175	132	173	134
ALPL	10	5	2	0	0	1	1	1	5	1	2	1
WNT4	50	35	22	10	27	13	20	16	37	18	18	10
TTLL10	190	175	90	110	136	78	115	80	180	105	165	101
SCNN1D	155	126	94	78	96	92	77	42	112	88	78	56
MXRA8	1778	1770	1005	1167	824	807	899	645	1032	744	844	637
FAAP20	657	738	450	445	449	369	530	298	592	414	418	374
MEGF6	54	41	15	12	48	59	40	14	17	99	30	15
CCDC27	13	12	7	12	9	9	8	4	5	13	8	5
IL23R	17	9	1	5	3	1	12	2	6	6	1	4
DIRAS3	54	44	28	32	62	66	50	60	188	48	154	107
C1orf87	0	0	0	0	0	0	0	0	0	0	0	0
NFIA	654	679	256	432	416	315	374	252	400	502	344	254
OMA1	66	81	45	54	91	92	80	37	104	108	57	63
MYSM1	329	356	209	206	239	203	254	135	268	255	212	199
TM2D1	50	58	42	39	39	44	46	24	47	45	45	31
USP1	406	401	196	267	287	219	303	206	431	295	369	296
FUBP1	1645	1647	1021	1127	1170	1018	1280	806	1610	1192	1221	978
NEXN	24	20	9	7	12	10	15	7	24	11	19	18
DNAJB4	41	32	26	30	21	26	24	15	44	34	25	27
ADGRL4	2	4	3	2	0	1	0	0	4	3	2	2
LRRIQ3	9	7	5	6	13	7	9	3	11	7	2	7
LRRC53	2	8	1	0	1	2	6	1	3	3	4	0
TYW3	80	84	49	51	53	54	76	45	87	63	44	44
LHX8	0	0	0	0	0	0	0	0	0	0	0	0
SNX7	233	237	114	89	126	90	166	81	165	137	138	129
B3GALT2	75	73	65	32	43	63	50	37	71	48	53	45
NTNG1	0	0	0	0	0	0	0	0	0	0	0	0
FAM102B	205	171	117	101	143	90	144	92	150	125	108	112
HENMT1	228	219	97	102	124	86	119	77	164	143	125	110
AKNAD1	1	1	4	1	4	2	2	0	2	0	0	1
C1orf52	118	127	111	72	63	76	60	52	111	65	87	75
WDR63	0	0	0	1	2	0	0	4	3	2	1	2
GBP2	702	705	519	471	517	649	752	289	658	576	454	410
ATXN7L2	79	98	93	43	60	62	58	35	71	47	56	33
GBP4	8	4	2	2	11	11	10	15	28	10	14	32
ZNF326	297	339	174	157	299	190	243	149	353	231	246	233
HFM1	5	0	0	0	1	0	1	2	0	0	0	0
BRINP3	42	18	21	5	61	14	38	24	17	16	18	21
GFI1	0	2	0	0	2	0	0	0	2	0	1	0
KCNT2	25	28	15	19	17	3	22	28	45	16	22	29
AGL	590	623	339	363	400	391	453	262	541	419	441	323
VCAM1	1	1	0	0	1	0	2	1	1	3	3	1
EXTL2	119	130	85	78	89	67	113	51	103	88	83	82
SLC30A7	345	347	247	228	251	241	239	189	334	239	280	233
ZNF281	519	515	417	325	321	326	425	242	528	356	392	309
ARPC5	531	593	363	404	451	363	468	313	545	393	460	404
CADM3	0	0	0	0	0	0	0	0	0	0	0	0
NLRP3	0	0	2	2	0	2	1	0	3	0	0	0
ZNF496	1766	1698	1301	992	876	889	1146	559	1123	1064	813	728
TRIM58	0	0	1	1	0	0	2	1	0	0	1	0
SLAMF9	326	404	216	196	105	221	247	151	410	94	251	229
OR2M5	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ9	4	8	8	1	4	5	2	2	2	3	6	1
IGSF8	1926	2044	1761	1080	1642	2601	1747	1168	2150	2121	2119	1299
DDR2	29	41	24	7	12	6	16	9	12	20	11	5
PEA15	730	657	473	466	541	471	530	401	725	537	604	420
PEX19	961	992	739	638	648	689	843	459	991	815	707	571
NCSTN	10475	11198	8677	7212	5983	9270	9558	4370	8897	7308	7009	4795
VANGL2	361	341	220	138	141	204	212	126	232	206	216	139
SLAMF6	0	1	0	0	0	0	0	0	0	0	0	3
OLFML2B	6	9	3	3	6	3	6	4	1	2	1	2
FCRLB	2	0	3	0	0	0	4	1	0	2	0	0
FCGR3B	0	0	0	0	0	1	0	0	4	0	4	5
SLC9C2	0	0	0	0	0	0	0	0	0	1	1	0
KLHDC9	182	201	117	116	140	146	156	102	149	144	123	92
C1orf74	104	115	67	72	91	50	76	47	90	89	71	66
LMX1A	3	0	1	1	18	0	1	0	1	0	0	3
LRRC52	0	0	0	0	0	0	0	3	0	0	0	0
FLVCR1	504	543	307	355	434	344	484	343	607	414	434	360
FAM71A	2	2	2	0	0	0	3	0	1	0	2	0
ATF3	112	151	158	73	149	105	121	67	82	55	48	106
RBM15	1105	1045	576	641	814	536	779	550	1054	750	732	629
DENND2D	255	240	187	181	196	197	229	123	240	229	161	141
AXDND1	21	27	18	20	19	11	14	7	20	10	11	14
TDRD5	70	71	46	43	40	30	37	36	54	56	28	21
IER5	186	166	159	100	210	180	141	119	283	171	209	156
SNED1	872	807	467	392	525	360	594	330	600	342	401	290
BPNT1	672	807	450	495	431	468	590	311	662	612	533	419
SPATA17	122	127	103	100	92	92	127	55	99	100	80	67
C1orf115	86	82	50	38	44	57	90	35	75	62	52	38
BROX	1207	1188	842	756	721	787	840	456	1032	913	821	669
NBPF20	1809	1803	1165	1124	1196	1140	1352	814	1705	1429	1291	1008
ACP6	1260	1233	649	701	786	570	846	595	1033	873	909	617
WDR64	9	11	5	2	6	8	9	2	10	6	3	4
KIF26B	1621	1649	993	672	1515	827	1316	783	1249	1469	1045	840
TFB2M	710	856	529	558	484	507	657	329	681	585	477	531
CNST	1521	1549	1062	903	983	1020	1129	677	1421	1172	1029	879
PPP1R21	1586	1645	1177	1037	1054	1112	1279	751	1495	1205	1080	960
KLHDC8A	5	2	0	2	2	0	3	1	2	1	1	0
PM20D1	46	49	35	34	40	46	42	41	59	45	60	54
PKDCC	1859	1950	930	406	2800	913	2395	974	1284	1966	836	891
OXER1	155	156	81	94	79	46	84	40	101	73	72	50
HAAO	216	230	110	128	96	60	147	58	127	111	88	90
B3GALNT2	812	816	398	554	660	433	620	490	910	680	735	632
MAPKAPK2	1356	1460	1221	942	1017	1160	1262	782	1395	1004	1177	776
IL20	0	0	0	0	0	0	0	0	0	0	0	0
IL24	2	3	2	2	1	3	2	1	1	0	2	0
FCMR	6	4	4	0	5	2	2	1	2	1	1	0
PIGR	27	23	11	3	23	15	23	19	13	16	4	7
FCAMR	1	1	0	0	0	0	0	0	0	0	0	0
CAPN2	10311	10598	6902	6615	6503	6596	7508	4643	10284	6128	7780	5923
MRPL55	236	270	126	130	166	136	161	98	208	143	161	122
C1orf145	3	6	1	4	2	7	2	2	4	2	2	1
WDR26	4934	5385	4122	3327	3052	3757	3839	1892	3965	3801	2988	2301
REL	527	649	530	341	421	506	469	259	635	462	366	309
PUS10	101	91	77	75	67	43	82	37	89	88	63	75
PEX13	781	783	578	547	583	611	627	464	833	573	630	487
KIAA1841	353	321	160	216	340	168	308	236	357	220	316	266
TRIM17	228	222	132	119	135	95	139	68	148	138	130	77
RFTN2	46	48	30	40	40	22	29	22	48	32	21	24
DISC1	118	119	59	77	74	47	81	46	82	53	68	76
CAPN13	415	327	128	122	120	104	134	101	166	172	93	100
LRRTM1	0	1	0	0	0	0	0	0	1	0	0	0
MEMO1	941	1035	671	692	773	744	864	537	1147	789	910	658
DPY30	448	502	295	335	294	278	384	210	459	355	327	293
TYW5	198	225	165	168	170	146	161	111	259	154	195	155
MAIP1	212	215	136	138	142	108	160	113	253	144	168	159
KCNF1	241	313	259	168	136	70	164	91	294	135	165	165
PQLC3	331	352	208	205	201	236	260	167	281	220	242	196
ARL5A	407	419	263	309	328	276	337	217	500	399	366	294
FAM84A	1777	1769	929	1298	988	785	874	504	1118	1004	735	529
KCNJ3	48	33	18	13	69	16	58	18	30	37	23	24
NEUROD1	495	494	290	64	819	298	673	287	460	353	347	320
CLHC1	142	138	80	93	140	91	120	61	158	121	142	105
FRZB	5	8	0	4	1	2	1	2	3	5	3	1
DUSP19	42	28	14	20	23	15	32	14	33	13	15	15
CFAP36	1183	1361	776	777	741	766	1022	446	1042	951	805	667
NUP35	610	642	478	460	432	429	489	269	568	465	432	387
CCDC138	242	246	139	183	219	144	184	137	278	210	235	198
ZSWIM2	2	0	0	0	0	0	0	0	0	0	0	0
FBXO41	775	780	399	356	403	314	467	268	536	405	343	326
ACTG2	0	0	0	0	0	0	0	0	0	0	0	0
WDCP	336	365	206	199	175	161	245	166	317	260	219	196
SMC6	2110	1954	1062	1467	1825	1143	1651	1312	2523	1602	2119	1996
VSNL1	5	8	4	1	3	2	3	3	2	3	5	2
CCDC74A	458	445	219	255	235	170	311	162	241	216	199	146
H3F3A	72	39	38	32	44	25	38	23	55	30	26	17
ANKRD30BL	2	1	0	0	0	1	2	0	1	0	0	0
COQ8A	1556	1641	772	859	643	624	1020	376	837	895	469	422
SLC16A14	186	195	136	107	173	116	162	116	205	125	143	131
TEKT4	0	2	0	0	1	0	0	0	1	0	0	0
EN1	0	0	0	0	0	0	0	0	0	0	0	0
SGCB	342	378	234	193	160	212	287	150	265	232	237	190
SPATA18	1	0	0	2	3	1	2	1	7	4	4	1
NOSTRIN	224	281	154	208	119	99	187	72	215	124	156	108
CFAP221	10	2	2	3	2	1	6	2	4	1	1	1
CCDC140	0	0	0	0	0	0	0	0	0	0	0	0
SGPP2	685	694	761	457	1178	1319	1265	819	1326	1264	1015	854
INHBB	33	34	38	14	16	40	29	7	25	18	40	14
XIRP2	25	40	12	17	31	8	31	14	8	7	8	8
BBS5	20	24	15	18	5	13	12	7	15	11	12	16
BIRC8	0	0	0	0	0	0	0	0	0	0	0	0
SMARCAD1	1867	1987	1207	1260	1350	1242	1522	862	1877	1410	1503	1339
HPGDS	3	6	3	2	1	0	4	0	1	3	2	2
PDLIM5	3935	4547	2433	2835	2178	2015	2729	1445	3866	1919	2388	2013
PDHA2	1	1	0	2	2	0	2	0	0	1	2	1
STPG2	68	79	45	42	47	42	53	24	58	51	48	28
NEURL3	3	5	5	3	2	3	7	4	7	2	7	4
RPRD2	4034	4033	2349	2387	2400	2128	2882	1673	3262	2686	2385	1772
ANKRD23	6	4	3	1	2	2	2	3	7	3	3	1
CTSS	524	573	447	248	504	656	954	461	690	412	367	516
MSX1	17	16	16	5	22	20	20	18	39	12	16	21
PACRGL	613	703	443	399	445	389	448	326	593	447	472	347
BNIPL	42	36	20	15	57	82	31	29	61	116	38	33
C1QTNF7	0	1	1	0	0	1	1	0	0	1	4	0
TNFAIP8L2	16	22	9	17	21	18	17	13	19	22	17	5
LYSMD1	511	540	364	304	305	289	383	206	478	421	299	267
SCNM1	510	506	354	315	310	288	321	217	470	284	331	283
TMOD4	61	50	18	23	51	19	23	13	55	38	24	31
VPS72	2144	2327	1408	1411	1445	1289	1710	1018	1927	1422	1418	1195
ERCC3	2556	2728	1904	1658	1691	1705	1934	1190	2402	1759	1795	1387
RNF149	1483	1382	968	971	1009	1152	1195	719	1766	1063	1227	1028
IWS1	2164	2031	1249	1327	1542	1203	1571	1170	2207	1326	1749	1602
BOLA3	297	319	207	207	263	174	255	193	355	253	318	268
CDC42EP3	708	692	390	320	506	416	445	310	455	500	381	300
S100A11	5672	5584	3553	3543	5441	4100	4429	3535	7822	4638	6157	5205
LCE3D	0	0	0	0	0	0	0	0	0	0	1	0
SMCP	0	0	0	0	0	0	0	0	0	0	0	0
IVL	1	4	2	2	4	14	1	1	18	2	31	4
SPRR3	187	174	273	167	297	784	368	227	565	177	876	290
DHX57	1826	1804	1063	1175	1191	1048	1367	902	1776	1407	1446	1103
SPRR2D	0	0	0	1	0	1	0	0	2	0	0	1
BMP10	0	0	0	0	0	0	0	0	0	0	0	0
PGLYRP4	0	2	1	0	5	7	5	1	6	3	9	4
ARHGAP25	109	84	63	39	36	40	63	31	39	24	34	19
S100A9	3642	2660	2141	1277	20193	21703	7098	18068	40239	23454	44146	19243
S100A12	0	2	3	0	24	24	3	13	37	19	67	25
TGFA	140	155	147	78	102	108	95	95	179	112	133	86
TDRD10	2	2	0	1	1	1	1	0	0	1	1	0
CCNYL1	263	266	170	164	260	184	278	178	280	264	320	264
FZD5	686	767	492	471	409	248	495	277	599	246	361	376
CRYGC	0	0	0	0	0	0	0	0	0	0	0	0
DCAF16	1219	1292	803	766	654	683	899	480	968	835	707	511
C1orf189	3	3	4	2	4	7	3	2	2	3	2	2
NPPC	3	0	1	2	1	0	2	0	3	2	7	0
GNPDA2	344	398	278	266	209	255	290	166	370	298	299	207
ALPP	1	0	1	0	0	0	0	0	1	0	0	2
GABRG1	0	0	0	0	0	0	0	0	0	0	0	0
ALPPL2	1	1	0	0	0	1	0	0	5	0	0	2
GABRB1	0	1	0	0	0	0	1	0	0	0	0	0
PAQR3	237	246	157	157	200	192	194	153	292	127	212	189
NIPAL1	175	184	112	144	167	134	156	131	216	177	201	145
ALPI	6	1	5	2	5	7	6	0	2	2	2	1
ANTXR2	668	882	691	566	505	383	814	346	791	373	511	490
HELQ	332	344	234	223	215	206	241	142	342	226	268	195
MRPS18C	67	83	35	50	52	38	53	44	92	50	63	39
CGGBP1	748	764	486	456	516	434	593	322	677	466	493	429
FAM175A	410	409	272	289	169	182	279	89	273	247	187	172
GPR155	68	76	55	43	46	46	59	21	58	51	51	29
DAPL1	9	6	1	4	4	7	4	3	7	12	2	1
PMVK	495	467	224	317	314	292	381	201	418	351	324	318
PBXIP1	4266	4274	3360	2592	1787	3873	3255	1120	2552	2454	2012	1386
CLDN1	248	229	145	178	221	268	206	220	393	206	414	205
PYGO2	1806	1677	1039	1027	1095	1013	1245	739	1554	1104	1187	872
HIPK1	1087	1017	717	606	787	674	862	540	1121	760	866	598
LENEP	15	13	3	9	12	7	5	6	15	10	10	9
DCST2	68	88	53	34	44	44	41	19	33	44	38	29
DCST1	94	76	46	59	54	42	55	43	68	44	66	44
COL6A3	61	39	26	35	31	18	22	15	29	8	19	26
C1orf106	1911	1937	1278	1200	1113	889	1258	922	1789	977	1158	1095
YY1AP1	4922	5001	3473	3086	3107	2969	3576	1989	4543	3341	3262	2354
KBTBD8	45	53	42	25	27	21	38	45	55	45	55	49
FAM19A4	0	0	0	0	0	0	0	0	0	0	0	0
EOGT	238	243	189	160	190	164	173	174	244	190	220	191
LMOD3	2	2	3	1	0	3	4	0	3	0	1	1
NAXE	1512	1483	787	948	1008	884	1179	784	1516	1137	1276	873
POGLUT1	309	342	251	220	217	258	315	174	316	254	271	229
SLC22A15	32	22	18	6	21	13	17	11	7	8	15	3
CCKAR	0	0	0	2	0	0	1	0	0	0	0	0
IGFN1	149	160	127	81	172	49	123	123	152	72	156	72
ATP1A1	6230	6017	3113	3600	5453	5348	5326	4630	7409	6611	6978	4235
SLC15A2	99	91	64	78	46	52	73	45	92	102	70	61
EIF4E3	36	44	31	29	40	46	41	22	37	28	28	18
PROK2	0	0	0	0	0	0	0	0	0	0	0	0
C3orf30	10	10	7	8	10	3	11	5	5	0	7	8
LRRC58	524	464	375	301	362	313	372	253	515	393	390	359
FSTL1	371	284	154	159	142	185	216	152	274	181	204	137
LMOD1	15	17	8	4	1	15	6	1	5	8	2	6
ELF3	3458	3729	2317	1730	2009	1876	2210	1012	2311	2110	1364	1353
PDCL2	15	8	8	5	9	2	4	3	7	3	5	0
TMEM183A	1307	1361	785	870	1027	781	1138	690	1393	989	1059	927
TMEM169	40	25	21	25	29	12	30	21	23	9	20	18
IGFBP7	5	9	7	4	4	8	9	2	7	3	4	1
TRIM46	193	171	99	84	137	74	112	53	150	92	68	52
KRTCAP2	37	34	19	19	31	29	21	20	37	23	45	21
CXCR1	3	1	7	2	1	1	3	1	0	2	0	0
ARPC2	4369	4681	3218	2890	3038	3066	3899	2093	4594	3216	3457	3007
TSACC	9	9	3	0	5	3	5	2	6	5	9	3
CCT3	6743	7054	4001	4427	5172	3719	5904	3906	8005	5092	5481	4696
TMEM79	496	509	272	261	292	314	279	189	416	361	361	251
SSR2	5802	6443	4126	3797	3793	3916	5116	2675	5515	4016	4076	3390
RNF25	562	559	402	338	342	313	396	274	543	373	377	306
STK36	1988	2036	1399	1242	1348	1417	1411	791	1453	1302	1139	829
ADORA1	13	3	1	2	5	2	2	7	19	10	6	8
NEK10	100	115	42	65	63	40	82	36	72	52	52	56
CCDC141	6	5	4	2	2	2	4	2	4	1	0	0
FEV	0	1	0	0	2	0	0	0	0	0	1	0
CRYBA2	20	13	17	7	76	18	41	32	21	19	28	23
IHH	12	7	2	3	14	1	5	7	1	3	1	4
KIAA1524	726	685	258	482	604	296	602	484	913	505	721	618
EOMES	10	10	1	2	9	7	4	2	7	20	11	4
CWC22	1145	1213	792	792	708	676	934	468	1117	833	745	730
AZI2	578	673	489	410	362	423	486	290	717	459	467	424
TGFBR2	4160	3989	2512	2673	2653	2370	3111	2365	4911	2007	3948	2947
RETNLB	0	0	1	1	3	0	1	0	2	0	1	1
ANKZF1	1930	1833	1276	1064	1043	1267	1263	537	1481	1015	876	729
HDAC11	504	532	297	254	341	312	429	210	430	322	305	233
FCRL4	0	0	0	0	0	0	0	0	0	0	0	0
TRAT1	0	0	0	0	0	0	0	1	0	0	0	0
FBLN2	844	708	369	254	342	581	368	275	431	591	428	225
GLB1L	1142	1116	721	667	612	650	806	448	712	807	532	451
STT3B	5135	5099	3005	3271	3764	3097	4445	2902	5367	3963	4409	3892
CHCHD4	323	315	183	191	246	168	230	156	308	244	260	229
DPPA2	4	1	0	0	0	0	0	0	0	0	0	0
NFASC	97	129	78	12	356	108	235	126	55	210	33	63
FCRL1	0	0	0	0	0	0	0	0	0	0	0	0
SGO2	506	528	173	364	349	190	442	304	553	336	442	414
SERPINI1	36	43	28	16	31	37	52	25	34	39	22	23
CLASP2	1524	1523	988	1066	1123	998	1336	789	1687	1150	1275	1094
SUCLG1	1333	1266	755	739	992	779	1172	675	1465	1167	1193	959
NUAK2	171	214	113	110	166	122	156	145	266	142	168	142
SPTA1	0	0	0	0	0	0	0	0	0	0	0	0
